Season,No. of Episode (Season),No. of Episode (Overall),Title of the Episode,Director,Assistant Director,Written by,Storyboard by,Guest Starring,Featuring,Also Appearing,Musical Numbers,Original Air Date,Product Code,U.S. Viewers (Millions),TV Rating,Running Time (Minutes),Aspect Ratio,Production Companies,IMDb Rating,Synopsys
8,17,143,Brian & Stewie,Dominic Bianchi,Joe Vaux,Gary Janetti,Kurt Dumas,None,"Brian, Stewie","Appearing only in the musical numbers segment - Peter Griffin, Lois Griffin, Meg Griffin, Cleveland, Tom Tucker, Diane Simmons, Mayor Adam West, Neil Goldman, Pearl Burton, Mickey McFinnigan, Herbert, Doug the jock, O'Brian, Tom Brady, Corey Feldman, Corey Haim, Sandy Duncan","NAAFP Anthem, You've Got a Lot to See, All I Really Need is the Boy, Shipoopi, My Drunken Irish Dad","May 2, 2010",7ACX20,7.68,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.7,"Brian and Stewie get locked in a bank vault and become trapped. Brian wakes up in the middle of the night and opens a bottle of scotch. When he accidentally wakes up Stewie, they share the scotch. While drunk, Stewie tells Brian that his life has no purpose, and Brian becomes infuriated. A fight ensues, and Stewie draws a gun from Brian's safety deposit box in the vault. The next morning, Stewie asks Brian why he has the gun, and he reveals that he keeps it in case he ever wants to commit suicide. Shocked, Stewie asks why he is so unhappy, and Brian notes it is because his life has no purpose. Feeling sorry for him, Stewie says that he loves Brian, and he would not be able to live without him. They drift off to sleep, and the bank vault suddenly opens."
8,18,144,Quagmire's Dad,Pete Michels,Bao Nguyen,Tom Devanney,"Ivaylo Angelov, Won Ki Cho, Dave Sherburne",None,"Glenn Quagmire, Dan/Ida Quagmire, Brian","Peter, Lois, Stewie, Chris, Meg, Joe Swanson, Bonnie Swanson, Dr. Hartman, Mayor Adam West, Aquaman, Wally, Ann Coulter Uncensored version: Whoopi Goldberg, Barbara Walters, Elisabeth Hasselbeck",Walking on Sunshine,"May 9, 2010",7ACX19,7.22,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.5,"Joe and Peter visit Quagmire, and are introduced to his father, Dan. They are surprised by Dan's gay mannerisms, however, and after Quagmire invites Peter and Lois to the Naval Ball to be held in his father's honor, they begin arguing over the issue. Quagmire confronts Dan, and his father states that he has scheduled a sex change. The surgery is a success, and Dan emerges as ""Ida."" That night, Ida and Quagmire join the Griffins for dinner. Quagmire becomes frustrated when the conversation turns towards Ida's surgery, and suddenly storms out of the room. At Quagmire's home, he tells Ida that he cannot deal with the change. Saddened, Ida leaves her son's home and decides to stay at a nearby hotel. There, she meets Brian, and after several drinks, Brian sleeps with Ida which drives Quagmire into rage."
8,19,145,The Splendid Source,Brian Iles,"Kenji Ono, Shawn Palmer",Based on a short story by: Richard Matheson; Teleplay by: Mark Hentemann,"Kurt Dumas, Jonathan Gebhart","Sanaa Lathan, Kevin Michael Richardson, David Lynch, Marc Alaimo","Peter Griffin, Glenn Quagmire, Joe Swanson, Cleveland Brown","Lois, Chris, Meg, Brian, Stewie, Bonnie Swanson, Donna Tubbs-Brown, Rallo Tubbs, Cleveland Brown, Jr., Bruce, Consuela, Dr. Hartman, Mayor Adam West, Angela, Opie, Gus, Stephen Hawking, Bill Gates, Herbert, Jesse, Tom Tucker, Al Harrington, Principal Shepherd, Sal Russo, The Dean, Bender, Freddy Krueger, REO Speedwagon, Kevin Cronin, John Payne, (Uncensored version): Warren Buffett",Take It on the Run,"May 16, 2010",7ACX17,7.59,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.3,"Chris tells his parents that he has been suspended from school for telling a dirty joke to his friends. Revealing he heard it from Quagmire, Peter questions where Quagmire heard the joke and eventually finds that the joke originated with a Virginia bartender. Setting out from Quahog, the group enters the bar in question and find that it was Cleveland who told the bartender the joke. When Cleveland is asked where he heard it, he reveals that it was from a bellhop in Washington, D.C. The group, along with Cleveland, then set out on the road and are attacked, captured, and thrown on a plane. The plane lands on an island where they are led to a large stone temple, and enter a large library with all of the world's greatest geniuses studying inside. They are not permitted to leave the island, however, and are locked in a jail cell. The group then breaks out, and set the temple on fire."
8,20,146,"Something, Something, Something, Dark Side",Dominic Polcino,Joseph Lee,Kirker Butler,"John Banh, Dominic Bianchi, Mark Covell, Rick Del Carmen, Kurt Dumas, Steve Fonti, Mark Garcia, Raul Guerra, John Holmquist, Bao Nguyen, Michael Rundle, Joe Vaux, Julius Wu, Perry Zombolas","James Caan, James Woods, John Bunnell, Joe Flaherty","Chris Griffin as Himself and Luke Skywalker, Peter Griffin as Himself and Han Solo, Lois Griffin as Herself and Princess Leia, Stewie Griffin as Himself and Darth Vader, Brian Griffin as Himself and Chewbacca, Glenn Quagmire as C-3PO, Cleveland Brown as R2-D2, Herbert as Obi-Wan Kenobi, Carl as Yoda, Mort Goldman as Lando Calrissian, Ernie the Giant Chicken as Boba Fett, Joe Swanson as Imperial Probe Droid, Carter Pewterschmidt as Emperor Palpatine, Dr. Hartman as General Rieekan, Bruce as Captain/Admiral Piett, James Woods as General Veers, Holden Caulfield as Admiral Ozzel, Meg Griffin as Herself and Exogorth, Cookie Monster as Wampa","Consuela, Ryan Seacrest, James Caan, Kirker Butler, Seth MacFarlane, David Goodman, Elroy Jetson, Don Knotts, Rodney Dangerfield, The Beatles, Raggedy Andy, George Takei, Duane Chapman, Ivan Drago, Tom Selleck, Gordon, David, Lobot, Dack Ralter, IG-88, Dennis Haysbert, Kenny Baker, Iron Man, Owen Lars, Beru Lars, Zuckuss, Bossk, Prom Night Dumpster Baby, Imperial Stormtroopers, Brigitte Nielsen","My Little Buttercup, Turn the Ship Around","May 23, 2010",6ACX21; 6ACX22,6.13,TV-14,44,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.6,"While being chased by Darth Vader (Stewie) on the planet Hoth, young Luke Skywalker (Chris) has a vision of his dead mentor Obi-Wan Kenobi (Herbert), who tells him to go to the planet Dagobah and learn the ways of the Force from Jedi Master Yoda (Carl). Luke has a vision of the Empire capturing his friends and forgoes his Jedi training in order to save them by confronting Vader. Luke arrives at Cloud City and engages Vader in a lightsaber duel. Vader cuts off Luke's right hand, and with Luke cornered and defenseless, Vader goads him to join the dark side, and then reveals that he is his father."
8,21,147,Partial Terms of Endearment,Joseph Lee,Francis Dinglasan,Danny Smith,"Ivaylo Angelov, Won Ki Cho, Dave Sherburne",Wil Wheaton,"Lois, Peter","Brian, Stewie, Meg, Chris, Joe, Quagmire, Dr. Hartman, Tom Tucker, God, Naomi & Dale Robinson, Terry, Ozone & Turbo, Whiskers, Ziggy the Zygote, The Count, The Three Stooges, Guy That Would Have Killed Adolf Hitler, Osama bin Laden's America-Loving Older Brother","God: He Knows What Turns You On, Get Yourself an Abortion Today! (Deleted)","June 20, 2010 (UK, TV); September 28, 2010 (US, DVD)[e]",7ACX10,None,Unrated,48,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.4,"Lois runs into her old friend Naomi, who reveals that she and her husband are having difficulty conceiving a child. She then asks Lois if she will be a surrogate mother. Lois decides to do so, and Peter becomes upset when he finds out. Despite this, Lois has the procedure performed, and Peter attempts to cause Lois to have a miscarriage. Suddenly, the local news reveals there has been a car crash, with Naomi and her husband pronounced dead. Devastated, Lois must choose whether or not to abort the baby, or put it up for adoption. In an attempt to make a decision, Lois and Peter visit the Family Planning Center, and decide to have an abortion performed. As Peter exits the center he comes across an anti-abortion rally and changes his mind. When they return home, they discuss if they should have the abortion or not. After the discussion, Lois goes ahead with abortion."
9,1,148,And Then There Were Fewer,Dominic Polcino,Lucas Grey,Cherry Chevapravatdumrong,"Seung Cha, Mark Covell, Steve Fonti, Jae Woo Kim, Annie McMillan, Dave Sherburne","James Woods, Drew Barrymore, Ashley Tisdale, Patrick Stewart","Peter Griffin, Lois Griffin, Meg Griffin, Chris Griffin, Stewie Griffin, Brian, Jillian, James Woods, Bonnie Swanson, Joe Swanson, Tom Tucker, Diane Simmons, Carl, Dr. Hartman, Glenn Quagmire, Seamus, Mort Goldman, Muriel Goldman, Mayor Adam West, Consuela, Herbert, Priscilla, Derek Wilcox","Stephanie, Tricia Takanawa, Willy, Uncensored version: Tomik and Bellgarde",Dynasty Theme,"September 26, 2010",8ACX01; 8ACX02,9.41,TV-14,49,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",8.6,"In a parody of a murder mystery, the residents of Quahog are invited over to a honorary dinner at James Woods' mansion, where Quagmire's overweight date Stephanie, James Woods, his girlfriend Priscilla, Muriel Goldman, and Derek Wilcox are all murdered in sequence. A bloody golden globe and Priscilla's dead body are found in Tom Tucker's room leading the group to believe he is the killer. In the morning, Lois finds out that Diane Simmons is the true killer and she did it because James Woods was her boyfriend and dumped her on her 40th birthday and Tom pushed Channel 5 to replace her with a younger woman so she planned to kill Woods and frame Tom. As she prepares to kill Lois, she is shot by Stewie, vowing to be the one to kill Lois."
9,2,149,Excellence in Broadcasting,John Holmquist,Rick Del Carmen,Patrick Meighan,"Young Baek, Won Ki Cho, Bao Nguyen","Rush Limbaugh, Rainn Wilson","Brian, Rush Limbaugh","Peter Griffin, Lois Griffin, Stewie Griffin, Chris Griffin, Meg Griffin, Stan Smith, Mike Brady, Carol Brady, African American ""friends"", Joyce Kinney, Tom Tucker, Ollie Williams, John McCain, Hot Dog, Barney Frank, The Harlem Globetrotters, Nancy Pelosi, Mickey Rourke, Chuck Norris, Jon Voight, George W. Bush, Barack Obama, Ronald Reagan, Bill Clinton, Jimmy Carter, Dick Cheney, Tyler Labine, Benjamin Stockham, Frank Dolce, Matthew Levy Uncensored version - George H. W. Bush, Rupert",Republican Town,"October 3, 2010",8ACX03,7.94,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.6,"Brian decides to confront Rush Limbaugh when he comes to Quahog for a book signing. Brian becomes a Republican after reading Rush’s book. As Lois opposes his new ideas, he moves in with Rush and tries to “help” his party in different ways."
9,3,150,"Welcome Back, Carter",Cyndi Tang,Ivaylo Angelov,Wellesley Wild,"Francis Dinglasan, Joe Vaux",None,"Carter Pewterschmidt, Barbara Pewterschmidt, Peter Griffin","Lois, Heather Mills, Brian, Quagmire, Joe, Paula, Jonathan Lipnicki, Diabeto, Roginald, Storyteller, Clarence","Surfin' Bird, I'll Take You Home Again, Kathleen","October 10, 2010",8ACX04,7.02,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7,"After Peter catches Lois' dad, Carter, having an affair, he is strong-armed into keeping a secret. Joe and Quagmire tell him about how he can use this situation to blackmail Carter. But when Peter accidentally spills the beans, Lois' mom demands a divorce, and Peter is in charge of Carter's return to bachelorhood."
9,4,151,Halloween on Spooner Street,Jerry Langford,Michael Rundle,Andrew Goldberg,"Ray Claffey, Ben Lane, Michael Loya, Steve Fonti","Patrick Stewart, Barclay DeVeau‎‎","Peter, Joe, Quagmire, Brian, Stewie, Meg","Lois, Chris, Rupert, Mayor Adam West, Mort Goldman, Connie DiMico, Patty, Esther, Ruth, Richard ""Dick"" Pump, Justin, The Pink Panther, Bill Clinton, Scarlett Johansson, Laura Linney Uncensored version: Michael Cera, Floyd Wetherton",None,"November 7, 2010",8ACX06,7.97,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.9,"Peter and Joe team up to execute a series of painful and humiliating Halloween pranks on Quagmire. While Brian shows Stewie the ropes of trick-or-treating, Meg sets out to attend her first high school Halloween party with high hopes for the evening. She and Chris, who have both dressed up in an attempt to hide their faces, find themselves in an unpleasant situation."
9,5,152,"Baby, You Knock Me Out",Julius Wu,John Banh,Alex Carter,"Mark Garcia, Jonathan Gebhart, Shawn Palmer",None,"Lois Griffin, Peter Griffin","Stewie, Brian, Meg, Chris, Joe Swanson, Glenn Quagmire, Bonnie Swanson, Bruce, Carter Pewterschmidt, Barbara Pewterschmidt, Deirdre Jackson, Mayor Adam West, Herbert, Angela, Seamus, Mort Goldman, Dr. Hartman, Tom Tucker, Floyd Wetherton","MMMBop, Eye of the Tiger","November 14, 2010",8ACX05,7,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.1,"After Lois accidentally gets involved in boxing, she proves herself extremely skilled in the ring as she tries to picture Peter in place of her opponent. Peter gets ambitious and tries to make Lois a professional boxer even when she is resistant."
9,6,153,Brian Writes a Bestseller,Joseph Lee,Richard Manginsay,Gary Janetti,"Won Ki Cho, Dave Sherburne","Bill Maher, Arianna Huffington, Dana Gould, Ashley Tisdale","Brian, Stewie Griffin","Peter, Lois, Chris, Meg, Rupert, Tom Tucker, Mayor Adam West, Sharhooz, Kelly, Jan, Spuds MacKenzie, Renée Zellweger, Bill Maher, Arianna Huffington, Dana Gould, Melanie Griffith Uncensored version: Bradley Cooper",None,"November 21, 2010",8ACX07,6.59,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7,"Feeling discouraged with the progress of his writing career, Brian decides to throw in the towel until Stewie become his manager and one of his books hits the bestseller list. But when the fame goes to his head, Brian gets a wake-up call from Bill Maher (appearing in a live-action scene as himself)."
9,7,154,Road to the North Pole,Greg Colton,Young Baek,Chris Sheridan & Danny Smith,"Mark Covell, Francis Dinglasan, Ralph Fernan, Mark Garcia, Jonathan Gebhart, Raul Guerra, Annie McMillan, Joe Vaux","Ron MacFarlane, Drew Barrymore, Carrie Fisher, David Boreanaz, Bruce McGill","Stewie, Brian, Santa Claus","Peter, Lois, Meg, Chris, Rupert, Ron MacFarlane, Aurora Boreanaz, Quagmire, Bonnie Swanson, Joe Swanson, Susie Swanson, Mort Goldman, Neil Goldman, Bruce, Consuela, Herbert, Mayor Adam West, Tom Tucker, Angela, Jillian, Carl, Tomik, Bellgarde, Carter Pewterschmidt, Barbara Pewterschmidt, Seamus, Dr. Hartman, Jesse, Cleveland, Tricia Takanawa, Dan, Abby, Jerry the Goose, Robert, Janice, Lisa, Jane, Rosalynn, Winnie-the-Pooh, Eeyore, Scott Baio, Jessica Biel, Megan Fox, Jennifer Garner, Nick Jonas, Gary Busey, Michael Landon, Charles Manson, Osama bin Laden, Bette Midler, Ted Kaczynski Uncensored version: Joseph, The Virgin Mary","All I Really Want For Christmas, Christmastime Is Killing Us","December 12, 2010",8ACX08; 8ACX09,8.03,TV-14,44,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",8.2,"After getting blown off by the mall's Santa, Brian and Stewie travel to the North Pole to kill Santa Claus. They get there, only to find that Santa is very sick and near dying because of all the work he does each Christmas. Brian and Stewie promise to deliver the presents for him, but fail at the first stop after being discovered by a family. On Christmas morning, when everyone wakes up with no presents under their trees, Brian explains the problem on the news and tells them to shorten their demands to one gift a year. Everyone agrees and one year later, Santa recovers and everyone has a merry Christmas."
9,8,155,New Kidney in Town,Pete Michels,Bao Nguyen,Matt Harrigan & Dave Willis,"Raul Guerra, Michael Loya, Dave Sherburne",Drew Carey,"Peter Griffin, Brian, Stewie, Meg Griffin, Chris Griffin","Lois, Quagmire, Joe, Horace, Principal Shepherd, Tom Tucker, Joyce Kinney, Elmer Hartman, Barack Obama, Nicole Eggert, Willie Aames, Josie Davis, Sandra Kerns, Scott Baio, Alexander Polinsky, James T. Callahan, Drew Carey, Emily Brontë, Charlotte Brontë, Anne Brontë","Ray of Light, Honestly Sincere","January 9, 2011",8ACX10,9.29,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.5,"Peter needs a new kidney after his disturbing energy-drink addiction causes renal failure. Brian agrees to give him both of his kidneys and the family prepares to bid adieu to their dog. Meanwhile, Chris is chosen to introduce President Obama at school after winning an essay contest. Trouble is, Meg wrote the essay."
9,9,156,And I'm Joyce Kinney,Dominic Bianchi,Joe Vaux,Alec Sulkin,"Mark Covell, Francis Dinglasan",Helen Reddy,"Lois Griffin, Joyce Kinney","Peter, Chris, Meg, Stewie, Brian, Rupert, Quagmire, Bonnie Swanson, Joe, Tom Tucker, Seamus, Consuela, Ollie Williams, Carter Pewterschmidt, Barbara Pewterschmidt, Thelma Griffin, Angus Reid, News editor Mike, Dale Robinson, Danny Zuko, Sandy Olsson, Raul and Other Guy, Fozzie Bear, Kermit the Frog, Tina Fey, Ellen DeGeneres","Hymn 487, Channel 5 News Theme","January 16, 2011",8ACX12,7.08,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.1,"Lois encounters the replacement to Diane as the anchorwoman for Quahog's news station, Joyce Kinney. Seeking a bond with someone famous out of sheer ego, Lois tries to befriend her. During a late-night dinner, Lois accidentally confides in Kinney that she is a former porn star. Kinney promptly reveals this on the news the next day which turns Lois into a pariah and enrages her. When Lois confronts her, Kinney reveals she's an ex-classmate of Lois during her days as a high-school cheerleader and that revealing her secret was part of a deep-seated grudge she had on Lois because of a terrible prank she played on Kinney in high school. Lois becomes depressed leading Brian to try and pull her out of it. Eventually, Lois decides to publicly admit her mistake during a church sermon and eventually win the town's approval back and completely infuriating Kinney."
9,10,157,Friends of Peter G.,John Holmquist,Rick Del Carmen,Brian Scully,"Michael Loya, Annemarie Brown","Laura Vandervoort, Jessica Stroup","Peter Griffin, Brian, Death","Lois, Meg, Chris, Stewie, Bruce, Joe Swanson, Glenn Quagmire, Judge, Dr. Hartman, Carl, Tom Tucker, Ollie Williams, Tomik and Bellgarde, Angela, Greg, Jenny, Tom Hanks, The Cast of The Sound of Music, William Wordsworth, Philip, Ernest, Jonathan Uncensored version: Jeffrey, Julia Roberts","Mr. Booze, CatDog theme","February 13, 2011",8ACX13,5.99,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.3,Brian and Peter are required to attend a 12-step program to deal with their drinking problems after a night of their disruptive drunken shenanigans; Death gives Peter a glimpse of what life would be like without alcohol.
9,11,158,German Guy,Cyndi Tang,Ivaylo Angelov,Patrick Meighan,"Mark Garcia, Jonathan Gebhart, Ron Smith",Alan Tudyk,"Chris Griffin, Franz Gutentag, Herbert","Peter, Lois, Meg, Stewie, Brian, Quagmire, Jesse, Frieda",Der Kommissar,"February 20, 2011",8ACX14,6.56,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.8,"Chris's search for a new hobby leads him to befriend an elderly puppeteer named Franz, until his checkered past is revealed by Herbert. After Chris and Peter get in trouble with Franz, they are rescued by Herbert."
9,12,159,The Hand That Rocks the Wheelchair,Brian Iles,Shawn Palmer,Tom Devanney,"Steve Fonti, Ben Lane",Patrick Stewart,"Joe Swanson, Meg Griffin, Stewie Griffin, Brian, Evil Stewie","Peter, Lois, Glenn Quagmire, Susie Swanson, Bonnie Swanson, Herbert, Kool-Aid Man, Chris DVD Exclusive: Statler and Waldorf",None,"March 6, 2011",8ACX11,6.32,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.2,"Meg is enlisted to check in on Susie and Joe while Bonnie is away but she soon becomes a little too involved. Lois intervenes when she realizes that Meg‘s misrepresentation of the situation. Meanwhile, Stewie accidentally creates an evil twin. When he tries to take Stewie’s place, Brian has to step in."
9,13,160,Trading Places,Joseph Lee,Richard Manginsay,Steve Callaghan,"Annemarie Brown, Michael Loya",Laura Vandervoort,"Meg Griffin, Lois Griffin, Peter Griffin, Chris Griffin","Stewie, Brian, Jim Kaplan, Mayor Adam West, Tom Tucker, Dr. Hartman, Ernie the Giant Chicken, Angela, Connie DiMico, Herbert, Gina, Principal Shepherd, Amber, Bruce, RJ, Mort Goldman, Carter Pewterschmidt, Horace, Rupert, Seamus, Carl, Ollie Williams",Revolution in the Air (extended versions),"March 20, 2011",8ACX17,6.55,TV-14,30,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.2,"Chris, Meg, Peter and Lois all trade places to teach each other a lesson. The stunt backfires on everyone except Meg, who surprisingly becomes an excellent housewife. Chris, however, proves to be incredibly productive at Peter's desk job leading Angela to fire Peter and replace him with Chris. Angela then proceeds to overwork Chris to the point where he becomes ill-tempered and nasty which eventually leads to a stress-induced heart attack."
9,14,161,Tiegs for Two,Jerry Langford,Michael Rundle,John Viener,"Ben Lane, Dave Sherburne","Jessica Stroup, Cheryl Tiegs, Drew Barrymore, Frank Welker, Robert Wu","Glenn Quagmire, Brian, Peter","Chris, Meg, Stewie, Lois, Jillian, James William Bottomtooth III, Mort Goldman, Carl, Tom Tucker, Seamus, Mayor Adam West, Denise, Bettina, Cheryl Tiegs, Mr. Washee Washee, Joe Swanson, Bonnie Swanson, Megatron, Negatron, Michael J. Fox, Ang Lee, Gene Shalit, John Davidson, Bubo",Mr. Sulu Show Theme,"April 10, 2011",8ACX16,6.61,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.1,"Brian tries to score on a date with a new friend, Denise, but ends up striking out. Instead of throwing in the towel, he decides to enlist Quagmire’s help through the latter's new class on how to score women. Unfortunately for Brian, the class was not to find love but to simply have sex. Fed up with Quagmire, he later encounters Cheryl Tiegs (Quagmire's one true love and the reason he became so sexually active). Brian and Cheryl hit it off immediately and the former begins rubbing it in Quagmire's face. This leads Quagmire to snag Jillian Russell (Brian's greatest romantic conquest) and rub it in Brian's face in response. Meanwhile, when the local dry cleaner loses his favorite white shirt, Peter goes ballistic."
9,15,162,Brothers & Sisters,Julius Wu,John Banh,Alex Carter,"Won Ki Cho, Steve Fonti","Julie Hagerty, Robert Loggia, Meredith Baxter, Michael Gross","Mayor Adam West, Carol Pewterschmidt, Peter Griffin, Lois Griffin","Chris, Stewie, Meg, Brian, Rupert, Robert Loggia, Glenn Quagmire, Barbara Pewterschmidt, Carter Pewterschmidt, Evan Johnson, Randall Carrington, Doggie Daddy, Peter's Broster, Tyler, Otto Von Shtad, Elyse Keaton, Steven Keaton, Jennifer Keaton,, Thomas Edison, Nikola Tesla",Men,"April 17, 2011",8ACX15,6.04,TV-14,30,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.8,"Lois is skeptical when she hears that Mayor West is marrying her sister Carol, due to the problems she had before with nine break-ups. Meanwhile, Peter is ecstatic at the thought of having a new brother and gets mad at Lois when she tries to prevent the marriage."
9,16,163,The Big Bang Theory,Dominic Polcino,Lucas Grey,David A. Goodman,"Mark Covell, Francis Dinglasan, Jonathan Gebhart","Wallace Shawn, Joe Flaherty","Stewie, Bertram, Brian, Leonardo da Vinci","Peter, Lois, Chris, Meg, Cleveland, Neil Armstrong, Yousef, Thomas Edison, Michelangelo","Peanut Butter Jelly Time, Heart and Soul","May 8, 2011",8ACX18,6.52,TV-14,30,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",8.1,"Stewie discovers that his time travel has in someway caused the Big Bang that formed the universe, so when Bertram reveals his plan of killing Leonardo da Vinci, Stewie’s ancestor, in order to erase Stewie from the universe, he and Brian go back in time to stop Bertram from accidentally deleting the whole universe too."
9,17,164,Foreign Affairs,Pete Michels,Bao Nguyen,Anthony Blasucci & Mike Desilets,"Won Ki Cho, Steve Fonti, Mark Garcia",None,"Bonnie, Lois","Peter, Chris, Meg, Stewie, Brian, Joe, Quagmire, Principal Shepherd, Jafar, Iago, Tom Tucker, Ken Radowski, Francine Smith, Steve Smith, Hayley Smith, Klaus, Roger, Abraham, Henry VIII, Joseph Smith, François, David Bowie, Mick Jagger uncensored version: Jesus Christ, Father McNamara","Good Morning, USA","May 15, 2011",8ACX19,6.55,TV-14,30,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.5,"Bonnie and Lois go to Paris, but Lois finds out that Bonnie only wants to go there to have an affair. After Joe discovers Bonnie's plans, he travels to Paris to try to get her back. All the while, Peter unsuccessfully homeschools Meg and Chris."
9,18,165,It's a Trap!,Peter Shin,None,Cherry Chevapravatdumrong & David A. Goodman,"Young Baek, Mark Covell, Rick Del Carmen, Steve Fonti, Mark Garcia, Jonathan Gebhart, Annie McMillan, Michael Rundle, Dave Sherburne, Jeff Stewart","Patrick Stewart, Michael Dorn, Carrie Fisher, Dee Bradley Baker, Mary Hart, Anne Hathaway","Chris Griffin as Himself and Luke Skywalker, Peter Griffin as Himself and Han Solo, Lois Griffin as Herself and Princess Leia, Mort Goldman as Lando Calrissian, Glenn Quagmire as C-3PO, Brian Griffin as Himself and Chewbacca, Carter Pewterschmidt as Darth Sidious, Carl as Yoda, Stewie Griffin as Himself and Darth Vader/Anakin Skywalker, Herbert as Obi-Wan Kenobi, Cleveland Brown as R2-D2, Ernie the Giant Chicken as Boba Fett, Meg Griffin as Herself and the Sarlacc, Rush Limbaugh as the Rancor, Tim as Wicket the Ewok, Joe Swanson as Jabba the Hutt, Klaus as Admiral Ackbar, Rallo Tubbs as Nien Nunb, Roger as Tiaan Jerjerrod, Angela as Mon Mothma, Adam West as Grand Moff Tarkin (archive footage only)","Opie, Osama bin Laden, Live Studio Ostrich, Jeremy the Terminally ill Boy, Ted Knight, Pee Wee Herman, John Williams, Conway Twitty, The Cast of Star Trek: The Next Generation, Will Robinson, Dr. Smith, Robot, Power Station, Mabel Simmons, IG-88, Pignose, London Symphony Orchestra, Imperial Stormtroopers","The Letter ""A"", Jumping Double Dutch, Some Like It Hot","May 22, 2011",7ACX21; 7ACX22,5.83,TV-14,56,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.2,Peter retells the story of Star Wars: Return of the Jedi.
10,1,166,Lottery Fever,Greg Colton,Young Baek,Andrew Goldberg,"Ivaylo Angelov, Annemarie Brown, Mark Covell, Michael Loya",Judy Greer,"Peter Griffin, Lois Griffin","Meg Griffin, Chris Griffin, Stewie Griffin, Brian Griffin, Joe Swanson, Glenn Quagmire, Mayor Adam West, Horace, Tom Tucker, Joyce Kinney, Tricia Takanawa, Angela, Nikki, Ricardo Montalban, William Shatner, Mort Goldman, Bruce, Eduard Khil, Carstairs, Sandra, Bruce Jenner, Michael McDonald, Anna Paquin","I'm So Happy to Finally Be Back Home, Checking Lottery Tickets, Makin' Whoopee","September 25, 2011",9ACX01,7.69,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.3,"Lois announces to the family that they should start sticking with a budget — just as Peter comes in with 200,000 lottery tickets, one of which turns the lower-middle-class Griffins into multi-millionaires."
10,2,167,Seahorse Seashell Party[f],Brian Iles,Shawn Palmer,Wellesley Wild,"Mark Covell, Dave Sherburne","Ioan Gruffudd, Dee Bradley Baker, Colin Ford","Meg Griffin, Brian","Lois, Peter, Chris, Stewie, Tom Tucker, Lady Gaga. G.I. José, Rupert","The Wheels on the Bus, Stewie Just Said That!","October 2, 2011",8ACX20,6.99,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.6,"When a hurricane hits Quahog, Brian gets through the storm by taking magic mushrooms and going on the trip of his life, while Meg, fed up with the verbal, physical, and emotional abuse from her family, stands up to them, only for the family to fall apart without a scapegoat. Note: This episode is part two of a hurricane-themed crossover with The Cleveland Show and American Dad! that begins on ""The Hurricane!"" and concludes on ""Hurricane!""."
